# {"t_start": 1557843889.158686, "env_id": "Antcons-v0"} 
r,l,lr,violation,t
-538.296099,190,0,0,1.076627
-79.123288,22,0,0,1.110535
-51.599747,14,0,0,1.136067
-153.78093,41,0,0,1.189223
-72.227047,32,0,0,1.224961
-307.907579,102,0,0,1.355573
-286.875904,83,0,0,1.453699
-46.407874,14,0,0,1.470495
-86.522972,33,0,0,1.503997
-3121.052394,1000,0,0,2.550717
-39.788071,13,0,0,2.568547
-134.923533,43,0,0,2.611254
-122.126973,35,0,0,2.645305
-151.927204,50,0,0,2.692822
-43.867436,12,0,0,2.704394
-3026.069842,1000,0.025565,0,4.287373
-114.710024,48,0,0,4.337256
-3013.684974,1000,0,0,5.823526
-561.279272,185,0.06308,0,6.034778
-88.849499,42,0,0,6.078892
-158.377245,57,0,0,6.141394
-38.913599,10,0,0,6.151759
