# {"t_start": 1557685151.8260322, "env_id": "Point-v1"} 
r,l,lr,violation,t
66.137731,65,0.322929,0,1.697253
-102.51082,65,0.65036,0,1.742626
617.656229,65,1467.405234,0,1.790629
149.61715,65,231.834798,0,1.843385
36.747117,65,10.248747,0,1.886352
345.612558,65,120.680312,0,1.941694
-33.871627,65,0.722136,0,1.986381
-130.214608,65,610.114702,0,2.031702
90.387293,65,1477.65199,0,2.074307
-818.403758,65,1065.539118,0,2.11705
-104.465944,65,6.239783,0,2.162086
71.822797,65,279.323136,0,2.205962
-23.651618,65,129.927065,0,2.252743
2808.639305,65,2253.473612,0,2.297216
-17.807241,65,3.569277,0,2.339815
411.758854,65,504.983227,0,2.384119
-262.365682,65,0.473826,0,2.444593
50.297327,65,213.474756,0,2.492663
6.90594,65,26.174656,0,2.534801
85.24921,65,2.506055,0,2.576806
8.020996,65,0.0,0,2.619111
-57.968272,65,1630.636595,0,2.660604
-241.001911,65,0.0,0,2.706968
-142.742304,65,68.500413,0,2.749224
-33.500713,65,0.932624,0,2.791229
4.533708,65,203.538322,0,2.850598
272.091513,65,155.807671,0,2.95958
347.626079,65,832.534662,0,3.01466
303.543631,65,2.854478,0,3.057595
22.544717,65,158.448139,0,3.099485
62.360732,65,256.985371,0,3.140577
-43.903041,65,0.0,0,3.814618
208.306086,65,487.964545,0,3.872337
321.914818,65,682.447059,0,3.928961
255.53531,65,126.28162,0,3.977492
-47.448845,65,0.586412,0,4.050135
278.179846,65,109.779184,0,4.141858
-217.000291,65,0.025825,0,4.193528
-89.062935,65,232.650679,0,4.238332
210.079456,65,29.49733,0,4.282902
-83.991204,65,64.765756,0,4.325958
174.681407,65,51.174821,0,4.379518
168.526595,65,171.341172,0,4.431949
940.765704,65,64.850483,0,4.490927
-117.113784,65,288.894072,0,4.564762
-257.424714,65,1222.639747,0,4.613347
-298.764081,65,197.773338,0,4.668658
-502.680439,65,1708.060432,0,4.85715
373.237378,65,761.086156,0,4.949282
220.602771,65,44.862088,0,4.993649
351.116982,65,125.944802,0,5.035749
53.803549,65,0.0,0,5.077811
38.028098,65,4.262787,0,5.250309
52.68396,65,72.628188,0,5.337566
359.565767,65,0.678623,0,5.400162
80.865607,65,28.247324,0,5.452654
14.289251,65,0.0,0,5.496175
-2.965887,65,56.823095,0,5.53952
1.487937,65,0.0,0,5.604396
-96.103602,65,235.981916,0,5.800596
111.11414,65,5.540635,0,5.882605
-0.962163,65,4.032472,0,5.963032
350.229409,65,303.390778,0,6.014693
-136.850142,65,123.681678,0,6.84498
-29.233368,65,1080.036601,0,6.996577
-242.321123,65,1089.559318,0,7.09716
42.766716,65,101.617538,0,7.148587
-17.373424,65,27.407676,0,7.193544
865.557319,65,43.003689,0,7.238259
-700.688074,65,399.100707,0,7.286477
1752.441309,65,1894.586455,0,7.331069
373.921866,65,924.535627,0,7.386216
120.917751,65,25.401963,0,7.444901
-695.420787,65,1034.504426,0,7.491458
-437.625824,65,168.017579,0,7.538804
46.354735,65,115.212417,0,7.584228
-54.548936,65,0.0,0,7.631215
-447.675692,65,212.269692,0,7.676535
754.198547,65,1579.699612,0,7.721009
77.229917,65,0.834821,0,7.768371
103.144851,65,36.935966,0,7.814797
-70.305543,65,220.992824,0,7.868796
-85.647405,65,3.399592,0,7.935034
-86.751991,65,29.124116,0,7.979431
-190.256827,65,11.788011,0,8.022667
43.565115,65,10.905646,0,8.065156
145.015696,65,498.089491,0,8.107659
125.197635,65,350.582786,0,8.154783
-524.822223,65,19.189411,0,8.245417
105.461114,65,1142.780362,0,8.31221
-36.47659,65,17.453185,0,8.357719
24.162447,65,22.839554,0,8.420306
130.334172,65,38.404906,0,8.471725
-13.488026,65,383.761785,0,8.515197
28.787622,65,12.903464,0,9.66472
-0.99577,65,5.223336,0,9.769639
177.331765,65,116.360043,0,9.871423
81.576829,65,819.379929,0,10.009916
-214.559094,65,27.494992,0,10.121358
-202.096882,65,5.933139,0,10.183563
-532.155297,65,144.489651,0,10.260135
