# {"t_start": 1557845415.38322, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
14.956816,65,345.812426,60,0.952699
0.957359,65,0.511224,0,0.994519
0.049992,65,8.89845,6,1.039298
-0.091685,65,28.290561,20,1.080601
3.760448,65,125.591869,44,1.121914
0.293711,65,165.744584,52,1.163031
0.98698,65,39.354708,21,1.204172
16.051558,65,547.815037,55,1.249529
0.808196,65,136.281412,46,1.294632
0.666759,65,55.852067,36,1.345428
0.172683,65,0.0,0,1.387135
1.020996,65,11.602195,9,1.428521
2.980287,65,111.174766,32,1.469458
1.519315,65,4.337031,4,1.510426
-0.775088,65,0.529183,0,1.552434
0.308135,65,64.939061,32,1.594047
-3.094328,65,95.583303,32,1.640908
2.152638,65,12.374464,7,1.683607
-10.938714,65,91.129931,36,1.730297
-0.128078,65,129.560112,49,1.774055
3.781895,65,108.118937,42,1.822277
0.639993,65,4.084539,2,1.868155
1.308939,65,3.678861,3,1.914968
-0.410512,65,4.547123,3,1.969616
-0.792248,65,50.651602,26,2.014226
0.940091,65,59.554342,20,2.056661
-2.486848,65,46.547932,29,2.097302
-5.657442,65,385.611327,58,2.138115
2.8781,65,44.687457,24,2.178894
2.022856,65,0.393749,0,2.220047
5.457375,65,14.170589,10,2.268839
-0.683378,65,7.203735,7,2.942513
3.267544,65,113.3795,35,2.985501
3.301039,65,274.44428,57,3.028667
-0.348368,65,57.511035,27,3.073549
-1.508743,65,4.060491,2,3.116505
1.811346,65,52.913048,30,3.187037
-0.694087,65,0.095767,0,3.266549
-5.152734,65,130.607495,33,3.340751
-3.878908,65,57.604007,22,3.388799
0.671478,65,16.364364,13,3.434747
1.670615,65,129.671684,48,3.481936
-4.028161,65,110.863481,42,3.525122
0.202463,65,5.230074,3,3.566903
5.053512,65,261.1801,36,3.621086
-0.246012,65,13.555572,8,3.665582
-9.915374,65,7.345578,4,3.719444
1.02676,65,2.091513,0,3.778126
6.093685,65,65.238486,30,3.825447
-0.416416,65,66.487125,40,3.874625
-3.460851,65,38.964003,24,3.931647
8.15897,65,34.915372,21,3.977695
12.315395,65,91.360267,29,4.024137
-0.732691,65,18.298124,14,4.073438
-0.10962,65,0.100602,0,4.135607
2.071025,65,22.967499,14,4.186966
0.450431,65,6.906522,3,4.231518
-5.436211,65,101.488981,17,4.322109
5.899535,65,42.864472,18,4.404113
-0.979755,65,76.129433,37,4.454986
-7.749896,65,55.068636,23,4.499848
2.076357,65,74.944907,34,4.54318
-3.601584,65,254.634206,48,4.586135
