approxkl,clipfrac,eplenmean,eplrewmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss,violation_times
0.0033068862,0.033984374,65.0,87.0138336129032,1.2690380322580646,-0.10641837120056152,1010,1,2.8314195,-0.0051054894,2048,2.0257420539855957,2048,0.494622,24.451612903225808
0.001858576,0.012939453,65.0,77.64951112698414,0.7058340476190479,-0.028113365173339844,946,2,2.8180068,-0.0021706074,4096,4.1906139850616455,4096,0.16999057,23.444444444444443
0.0027814105,0.028710937,65.0,72.57458211702128,0.4155533085106384,0.1022348403930664,833,3,2.8079395,-0.0035175532,6144,6.6472179889678955,6144,0.16821304,23.19148936170213
0.0021786687,0.017773438,65.0,75.38541635,-0.19668285999999996,-0.13058125972747803,682,4,2.7918708,-0.003173635,8192,9.648766040802002,8192,0.97490233,25.1
0.0024258455,0.020214844,65.0,82.95088100000001,-0.37159661000000016,-0.07894361019134521,538,5,2.784778,-0.0018879033,10240,13.455370903015137,10240,0.43986005,26.37
0.003544876,0.04169922,65.0,92.64055624999999,-0.3279127800000002,0.08394241333007812,771,6,2.7914178,-0.006182641,12288,16.11076307296753,12288,0.47913307,27.87
0.0016556304,0.010253906,65.0,94.53143227000002,-0.5293025900000001,0.027643680572509766,949,7,2.7911384,-0.001701281,14336,18.267855882644653,14336,0.5350224,27.86
0.0031074292,0.0296875,65.0,82.35561925,-1.0550479800000003,-0.2540518045425415,936,8,2.790293,-0.0051512388,16384,20.455379962921143,16384,0.1603351,26.7
0.0034270133,0.03515625,65.0,90.38795191000001,-0.7328341400000002,0.02501755952835083,902,9,2.7995834,-0.0037036457,18432,22.725520849227905,18432,0.25083163,27.78
0.0044824188,0.048291016,65.0,88.30347434,-0.9441483900000003,0.16529250144958496,740,10,2.8147874,-0.006783453,20480,25.493469953536987,20480,0.11846094,27.44
0.0027335188,0.020019531,65.0,100.35662720999998,-0.6875730900000001,-0.1140141487121582,861,11,2.8111486,-0.0034263,22528,27.870468139648438,22528,0.35785317,28.2
