# {"t_start": 1557863724.388421, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
2.158251,65,127.215724,36,0.999177
0.649811,65,34.780895,17,1.05524
-1.094241,65,18.428635,12,1.115461
-0.868567,65,13.424891,9,1.161287
1.261713,65,14.901988,6,1.216886
-8.696499,65,295.074851,57,1.263796
-1.712253,65,88.645692,42,1.306199
3.112903,65,66.484353,30,1.347609
30.390377,65,146.206141,39,1.396898
-1.100086,65,0.141991,0,1.443715
3.109919,65,91.544396,36,1.493427
6.201493,65,319.736437,46,1.541029
-1.368695,65,32.529868,18,1.59127
-0.404789,65,13.57173,10,1.636375
-3.442293,65,195.11556,36,1.682624
-4.670246,65,16.3624,10,1.725616
0.914392,65,0.05081,0,1.770067
3.787619,65,13.399044,7,1.811962
-0.414132,65,0.255828,0,1.859232
1.469191,65,21.207523,14,1.906441
-5.663712,65,50.715832,26,1.954196
-0.752354,65,0.608184,0,1.99818
-2.129931,65,27.43918,18,2.044445
-1.501374,65,37.625877,19,2.090875
-10.061781,65,179.820623,33,2.137113
0.836833,65,16.222946,12,2.183468
-1.748354,65,2.747625,0,2.226906
-0.141834,65,54.733437,34,2.282618
1.351237,65,58.428473,27,2.328624
-7.085827,65,159.597854,51,2.373712
-1.691007,65,131.795921,44,2.415132
2.270178,65,50.718265,20,3.155183
-0.328318,65,12.972052,10,3.200724
-5.717422,65,2.317113,2,3.245197
1.87743,65,130.071374,53,3.287672
0.389599,65,55.860233,25,3.328718
0.237821,65,49.85473,27,3.373969
-11.539735,65,11.785218,12,3.414838
-0.274995,65,3.261903,3,3.46248
-0.106769,65,8.967612,7,3.506478
-3.596441,65,31.680384,20,3.549676
-27.695001,65,157.561355,34,3.608959
3.042401,65,5.206326,5,3.681193
-0.873279,65,46.134596,17,3.749545
-1.003791,65,87.399653,25,3.793567
-0.657564,65,2.983292,2,3.837647
0.824882,65,5.872605,4,3.880262
-19.226405,65,24.026016,17,3.936208
-0.470838,65,61.558542,14,3.976924
-4.263317,65,25.989483,22,4.017199
3.224404,65,95.027283,39,4.062618
3.974775,65,140.096758,34,4.108305
0.178738,65,73.20237,42,4.155024
-0.452227,65,203.661242,58,4.20064
12.518352,65,55.384049,21,4.242461
0.153676,65,6.559489,5,4.284934
0.554348,65,70.041194,31,4.329638
2.996849,65,52.184014,25,4.375658
5.50336,65,15.240421,10,4.421917
-2.805469,65,139.275368,48,4.465953
-4.158178,65,193.518604,49,4.506295
2.345342,65,34.777735,20,4.546369
0.32359,65,154.3857,50,4.587737
-2.703866,65,6.958693,5,5.211113
-2.941471,65,22.1314,10,5.252397
-0.034937,65,8.780121,6,5.292749
4.314968,65,180.385221,44,5.332882
-0.497501,65,124.869216,38,5.374118
0.386162,65,10.847642,8,5.414245
-3.208736,65,154.124596,50,5.454823
-3.732174,65,170.409458,46,5.494697
3.181556,65,108.990886,43,5.535279
-1.953827,65,133.938283,46,5.575784
-1.16842,65,25.945783,11,5.615876
-0.374903,65,162.582398,48,5.656108
-3.02375,65,3.69283,2,5.697759
-3.894551,65,21.668362,18,5.745884
3.023983,65,53.81393,29,5.79153
0.243199,65,7.969479,6,5.832945
-2.685312,65,265.767434,41,5.873904
2.378124,65,43.551178,25,5.921292
2.517599,65,18.788571,12,5.97231
6.411228,65,7.594164,4,6.025975
-5.045543,65,72.050349,35,6.067175
-9.850527,65,3.746856,2,6.113578
0.107583,65,298.179388,54,6.164652
-0.546026,65,13.468016,9,6.21489
0.616997,65,0.583279,0,6.277822
-16.559066,65,134.029826,33,6.324775
-6.688773,65,262.801983,54,6.371292
-8.511815,65,81.154826,34,6.417434
-17.499402,65,56.925163,30,6.463952
-0.090181,65,95.900557,39,6.507971
-7.752627,65,77.688832,41,6.558361
-1.128224,65,20.892036,13,7.166699
2.898525,65,22.330879,16,7.208121
-4.391821,65,154.603829,40,7.248435
4.350653,65,225.49407,46,7.289324
-3.936889,65,26.16759,11,7.331334
0.843461,65,49.172456,27,7.375793
0.18203,65,6.708,4,7.41574
2.807943,65,20.539657,13,7.455705
-4.139177,65,110.244035,42,7.495627
-7.918477,65,13.938699,9,7.536105
7.48194,65,346.024421,45,7.580415
2.007605,65,105.854024,39,7.621464
-0.48746,65,0.030571,0,7.668993
-0.285242,65,298.255711,46,7.711553
-8.009499,65,135.589131,36,7.751189
-0.215345,65,203.837292,44,7.796631
-1.436594,65,30.196518,20,7.842316
9.66588,65,67.781193,26,7.885062
-0.842217,65,0.375808,0,7.929169
-0.093586,65,14.913499,9,7.973217
1.96637,65,1.579742,0,8.01789
-5.055322,65,2.016968,1,8.062949
-3.524576,65,231.678663,45,8.10541
1.871031,65,22.390079,14,8.148393
-0.750537,65,38.862864,23,8.191568
1.761822,65,6.741188,5,8.23498
1.700652,65,88.266581,46,8.282168
-5.121645,65,115.917064,35,8.32578
2.334361,65,4.086642,2,8.368903
-4.962367,65,58.204869,22,8.418108
0.210926,65,204.853636,58,8.464996
2.954067,65,161.487891,58,8.521445
-3.110827,65,315.257102,55,9.123297
0.801277,65,9.35532,5,9.167688
-0.220565,65,55.483998,34,9.207852
-0.398162,65,4.747323,3,9.24806
6.967149,65,234.385752,43,9.288051
0.271791,65,54.187345,30,9.328933
-6.250299,65,148.96548,37,9.377277
-1.758611,65,72.167766,29,9.417368
-1.980192,65,34.083948,27,9.457353
-4.152599,65,93.373785,41,9.497227
12.247191,65,167.78603,35,9.53832
14.56194,65,338.409254,57,9.578546
-0.026173,65,10.329184,9,9.623219
2.539034,65,240.628271,40,9.664913
-2.496816,65,32.492467,22,9.705959
-0.095838,65,39.369146,11,9.745762
28.261079,65,15.696887,7,9.785707
17.723196,65,125.787574,50,9.834208
-0.963096,65,83.213649,27,9.87473
-4.1373,65,211.230588,44,9.915701
-13.530174,65,153.222762,34,9.962069
-0.817031,65,65.77513,41,10.004736
10.646481,65,170.246154,37,10.04967
16.764905,65,281.836628,59,10.090725
0.318288,65,89.420697,34,10.136679
5.738695,65,150.465029,53,10.180828
-0.632083,65,63.080611,29,10.222812
25.265427,65,312.10763,58,10.263963
0.198256,65,1.077111,1,10.305379
-0.06277,65,190.646453,46,10.348173
3.293548,65,60.467227,25,10.389936
-0.117288,65,82.961733,32,10.975882
-0.770164,65,4.702932,2,11.015424
-0.545378,65,13.109976,10,11.057456
9.981499,65,21.652693,8,11.098133
-4.142586,65,222.388523,59,11.138566
0.957765,65,5.521256,4,11.178203
-3.828224,65,227.631162,49,11.218425
-1.898915,65,6.13893,5,11.262925
4.616019,65,127.152068,35,11.303888
-3.863363,65,273.768869,48,11.343713
13.708203,65,344.639411,52,11.384717
6.318564,65,314.797662,56,11.429327
-0.994801,65,2.769328,1,11.470172
-4.908524,65,68.361989,28,11.511554
2.033541,65,148.847788,50,11.554555
-3.652038,65,9.543932,7,11.594903
-7.023135,65,4.062471,5,11.636215
1.665041,65,15.251418,9,11.676221
0.156792,65,10.668922,7,11.71974
35.837032,65,144.824603,50,11.760188
2.341954,65,116.664272,42,11.804725
9.861745,65,399.448777,63,11.848836
-6.303955,65,446.149738,58,11.89166
1.54458,65,46.632443,17,11.932782
8.676523,65,214.863283,41,11.97385
-0.545556,65,338.425502,45,12.019105
-0.553674,65,2.296472,1,12.059178
-8.529077,65,130.600382,41,12.098982
0.722904,65,59.022555,29,12.143586
-1.074823,65,2.243196,2,12.184287
1.741888,65,8.106076,7,12.225285
-3.593605,65,77.246658,28,12.265563
-1.491084,65,140.453134,45,12.847067
0.452571,65,145.121617,44,12.888615
3.554914,65,161.406156,45,12.928495
1.25048,65,59.119985,22,12.969779
-0.595731,65,99.163726,45,13.009685
5.157247,65,273.845003,61,13.049555
-3.391216,65,93.607982,38,13.095269
7.493729,65,48.52966,20,13.141134
4.025282,65,7.197229,3,13.18092
-9.199348,65,32.406745,14,13.221051
-9.415899,65,593.245729,57,13.261363
4.654403,65,41.61009,20,13.301396
-1.582909,65,74.612984,18,13.34125
-0.78473,65,215.816611,49,13.383886
7.218178,65,122.944611,36,13.442935
-0.792877,65,132.33955,40,13.482888
9.63997,65,15.981833,7,13.523732
-5.321479,65,255.796996,46,13.568857
4.293669,65,142.148173,40,13.614441
0.087058,65,85.848648,35,13.658784
0.291052,65,103.32805,46,13.699049
0.654482,65,3.373449,3,13.74392
-2.117451,65,186.479809,51,13.784542
-1.815303,65,5.39109,3,13.82671
-14.603573,65,61.340222,23,13.872417
6.290763,65,300.761532,52,13.917198
1.062559,65,25.08174,15,13.95983
4.791605,65,236.875658,56,14.001189
-1.121613,65,29.502464,17,14.041628
8.499947,65,25.432135,13,14.082839
-2.312853,65,158.990688,51,14.128082
-1.122712,65,82.862661,33,14.726372
-6.329627,65,43.83681,15,14.766509
2.981885,65,8.641347,5,14.806627
10.715459,65,126.573925,43,14.846597
-14.748848,65,172.313363,34,14.88863
-1.514965,65,12.326074,9,14.930902
-3.826607,65,145.010183,55,14.971094
0.28428,65,3.06917,2,15.014313
1.351096,65,117.445716,45,15.056285
-1.678346,65,81.027123,36,15.09618
0.497039,65,112.350885,35,15.136525
12.961237,65,22.85271,14,15.176499
1.993921,65,111.869283,42,15.216747
-0.139634,65,67.274847,24,15.25733
4.801627,65,22.349203,15,15.298056
-3.223615,65,17.541177,10,15.340555
0.383937,65,131.430078,31,15.383003
-4.81548,65,237.835629,47,15.423967
-1.934583,65,73.893397,34,15.47038
-1.000671,65,25.746379,18,15.510531
-0.901109,65,8.790588,5,15.550658
1.018684,65,259.617234,46,15.590673
7.377154,65,76.4686,35,15.631929
2.305173,65,2.346224,2,15.67268
-2.989632,65,44.042552,25,15.715842
-1.631948,65,46.202153,22,15.756258
-3.347253,65,98.973068,28,15.796571
-5.554756,65,99.90104,39,15.83706
2.169654,65,10.965781,7,15.877447
-1.55751,65,130.693079,39,15.919541
-1.110269,65,1.917469,0,15.963426
2.107342,65,21.14639,17,16.003997
2.272221,65,20.513613,20,16.575266
1.867028,65,2.120717,1,16.614959
-1.136768,65,12.551299,7,16.655939
4.873661,65,35.345654,16,16.695817
-1.791874,65,7.366374,7,16.73634
4.547964,65,47.116695,19,16.778772
-0.701194,65,409.871495,55,16.826018
-0.208043,65,0.200273,0,16.866483
-5.031193,65,117.224561,30,16.906614
0.327486,65,100.093595,40,16.946472
-2.762516,65,77.594138,23,16.986737
-4.308328,65,79.058412,25,17.026477
0.111864,65,13.178448,8,17.066274
-3.899308,65,21.055745,17,17.107494
-1.159703,65,123.020396,42,17.148619
-0.7404,65,191.473705,53,17.188765
0.047575,65,0.406687,0,17.228847
5.679106,65,337.121771,58,17.26943
3.068739,65,14.080958,6,17.309045
-12.095223,65,9.173298,7,17.348874
2.524039,65,328.202302,55,17.389534
-4.050273,65,48.22398,24,17.437835
1.864041,65,72.687404,37,17.479707
5.436289,65,55.75866,31,17.519957
-14.601947,65,9.903679,8,17.56179
10.374274,65,323.77007,56,17.609378
-8.123105,65,57.230538,25,17.655365
-0.099973,65,68.941565,36,17.695441
0.61082,65,112.812255,39,17.735575
-4.302966,65,25.374236,15,17.776483
-0.928893,65,0.0,0,17.816272
0.283309,65,19.559073,14,18.410684
0.890553,65,9.005583,7,18.457288
1.083424,65,104.961451,32,18.500064
-7.006533,65,70.467591,30,18.541629
-2.170011,65,33.797601,22,18.585762
-4.255787,65,65.090271,33,18.628643
-0.461339,65,17.419406,12,18.670967
-16.528448,65,85.925953,29,18.712154
0.332184,65,113.981657,49,18.753761
1.254708,65,173.22456,51,18.797237
5.216342,65,34.994286,17,18.842735
1.378716,65,70.052703,32,18.884118
-6.251297,65,83.357734,28,18.925175
-4.013591,65,25.527511,16,18.971302
3.295224,65,209.214247,36,19.012138
0.255323,65,104.525475,35,19.052748
-0.415939,65,42.287617,25,19.093348
-6.282701,65,140.6303,40,19.134538
0.286024,65,24.229331,8,19.17899
8.829085,65,41.346241,24,19.219634
4.221639,65,171.818339,61,19.260207
8.641683,65,133.521293,36,19.300801
8.295861,65,377.790317,63,19.341018
1.511986,65,65.890558,33,19.381296
21.577069,65,395.607478,57,19.421642
-1.6223,65,25.288163,15,19.46402
2.561414,65,55.13578,36,19.505691
-3.474516,65,1.547156,0,19.545639
0.703645,65,0.0,0,19.585937
2.862568,65,7.710262,6,19.626226
1.627971,65,111.731579,38,19.667126
1.306043,65,30.851641,16,19.707255
-6.748702,65,208.817125,49,20.280587
0.287087,65,27.60071,19,20.321811
-6.600092,65,74.484343,35,20.362922
-6.647597,65,155.129404,31,20.404654
