advantage_lam,alpha3,approxkl,clipfrac,cliprange,ent_coef,eplenmean,eplrewmean,eprewmean,explained_variance_l,explained_variance_v,fps,gamma,lf_coef,lr_a,lyapunov_lambda,lyapunov_loss,max_grad_norm,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss,vf_coef,violation_times
0.95,1.5150000000000002e-09,0.0022951788,0.023291016,<function constfn.<locals>.f at 0x1c3e8e56a8>,0.0,65.0,104.22594341935483,2.679879096774193,-0.0021910667419433594,-0.012954115867614746,955,0.99,0.5,<function mujoco.<locals>.<lambda> at 0x1c3e8e5730>,0.99742687,4.505082,0.5,1,2.848803,-0.0030869828,2048,2.143017053604126,2048,0.69886243,0.5,29.193548387096776
,1.5301500000000003e-09,0.0015537223,0.012792969,,,65.0,90.2791940952381,1.8050043333333334,-0.002806544303894043,-0.003679990768432617,1059,,,,0.99211776,2.2494156,,2,2.850406,-0.0019292714,4096,4.076002836227417,4096,0.1691847,,26.936507936507937
,1.5454515000000003e-09,0.0033412836,0.035546876,,,65.0,83.17261436170212,1.1214336382978725,-0.0021544694900512695,-0.020253896713256836,1056,,,,0.9905423,1.9391121,,3,2.8486087,-0.003875975,6144,6.015506029129028,6144,0.48813564,,25.904255319148938
,1.5609060150000003e-09,0.0033993416,0.031640626,,,65.0,86.42645646000001,-0.039544739999999946,-0.0005010366439819336,0.0374220609664917,1096,,,,0.98562765,3.9760003,,4,2.857751,-0.0048847804,8192,7.883776903152466,8192,1.3655005,,26.28
,1.5765150751500002e-09,0.006883961,0.08671875,,,65.0,92.43369119,-0.5121308300000001,0.014166533946990967,0.01322239637374878,1033,,,,0.97857857,2.5191698,,5,2.8604093,-0.009512297,10240,9.866757869720459,10240,0.5607954,,27.48
,1.5922802259015002e-09,0.007031572,0.09306641,,,65.0,100.46775165999999,0.49447407999999987,0.027344048023223877,-0.052298784255981445,1009,,,,0.96245587,1.5156162,,6,2.8689368,-0.0072459606,12288,11.900953769683838,12288,0.3411724,,29.67
,1.6082030281605153e-09,0.0031564287,0.030957032,,,65.0,102.17022478999998,1.8730427399999998,0.02632361650466919,0.07778483629226685,1004,,,,0.95022595,2.2840652,,7,2.885231,-0.0047468618,14336,13.94022512435913,14336,0.1254947,,29.88
,1.6242850584421204e-09,0.010843335,0.13134766,,,65.0,95.34167394000002,2.2164820000000005,0.029013395309448242,0.09818243980407715,1047,,,,0.93680143,1.7370875,,8,2.8848243,-0.014638817,16384,15.895148038864136,16384,0.31050423,,28.32
,2.4607918635398125e-09,0.0063945265,0.0746582,,,65.0,110.58848525000002,1.7033011100000002,0.028958797454833984,-0.0649946928024292,1099,,,,0.91100836,3.716566,,9,2.889833,-0.0075928466,18432,17.759065866470337,18432,1.280135,,28.99
,3.728099673262816e-09,0.0069830595,0.08935547,,,65.0,114.31715512000001,1.2436068100000006,0.02844703197479248,0.10170561075210571,1094,,,,0.8897955,3.573502,,10,2.9045556,-0.011996583,20480,19.63001298904419,20480,0.27095988,,28.72
,5.648071004993166e-09,0.009183873,0.11669922,,,65.0,130.92543608,0.7694201300000004,0.0457187294960022,0.10588425397872925,1096,,,,0.868811,1.939345,,11,2.9070191,-0.010862932,22528,21.49871802330017,22528,0.2826365,,31.58
,5.704551715043098e-09,0.009262679,0.12880859,,,65.0,119.43111798999999,-0.4397252400000001,0.04722929000854492,0.020896315574645996,1072,,,,0.8489342,1.064673,,12,2.9151912,-0.013799416,24576,23.40819787979126,24576,0.54302007,,31.02
,5.761597232193529e-09,0.008584257,0.10981445,,,65.0,125.42829833,-0.5356487199999997,0.04364442825317383,-0.13678598403930664,1088,,,,0.82431984,2.8974876,,13,2.9260087,-0.01682936,26624,25.290350914001465,26624,0.5981757,,31.68
,5.819213204515464e-09,0.0068285028,0.08164062,,,65.0,110.30564477999998,-0.33858608999999995,0.05879098176956177,-0.03359401226043701,1100,,,,0.79953593,0.91604155,,14,2.929974,-0.014818956,28672,27.154317140579224,28672,0.089988925,,28.69
,5.877405336560618e-09,0.006576939,0.0803711,,,65.0,111.28985660999999,1.33847773,0.056756436824798584,0.049702584743499756,1102,,,,0.7777548,1.4128149,,15,2.9464548,-0.0107459575,30720,29.021387100219727,30720,0.5438693,,27.42
,5.936179389926224e-09,0.011491822,0.1637207,,,65.0,109.11448391000002,2.51741086,0.05108308792114258,0.06998676061630249,1129,,,,0.7601403,1.9212532,,16,2.9569736,-0.015598504,32768,30.83454179763794,32768,1.0428274,,27.93
,8.993311775738228e-09,0.022761542,0.2491211,,,65.0,131.64542092,2.7284757600000002,0.05008053779602051,0.03431522846221924,1133,,,,0.7399328,2.9346886,,17,2.982243,-0.027410924,34816,32.64208269119263,34816,1.3645668,,30.21
,1.3624867340243417e-08,0.009013492,0.11123047,,,65.0,135.56918531000002,1.8161954,0.047615766525268555,0.11180651187896729,1104,,,,0.71544385,2.2682822,,18,3.0019767,-0.018588204,36864,34.49601984024048,36864,0.4561066,,31.35
,2.0641674020468775e-08,0.010642864,0.13808593,,,65.0,139.27338439000002,-0.6395030699999995,0.06493020057678223,-0.03644382953643799,1123,,,,0.6971475,1.430115,,19,3.0078695,-0.021566652,38912,36.31873893737793,38912,0.5367985,,31.36
,2.0848090760673463e-08,0.0065282187,0.076855466,,,65.0,130.26440694999997,1.2552823400000002,0.06292939186096191,-0.20029401779174805,1122,,,,0.6797087,1.2664555,,20,3.000637,-0.013096606,40960,38.144264936447144,40960,0.646037,,29.94
,2.1056571668280196e-08,0.0107480055,0.11713867,,,65.0,133.40014198,2.1385729100000006,0.0661698579788208,0.028993606567382812,1136,,,,0.6687723,1.561911,,21,2.9808478,-0.016134256,43008,39.94668173789978,43008,0.57837975,,30.76
,3.1900706077444495e-08,0.013519049,0.14370117,,,65.0,148.74792672,3.8210272099999996,0.0664169192314148,-0.017905592918395996,1129,,,,0.6501516,1.9191558,,22,2.9699702,-0.03236991,45056,41.759860038757324,45056,0.3114118,,31.62
,3.221971313821894e-08,0.004626017,0.046826173,,,65.0,147.30811204999998,4.770352,0.06009078025817871,-0.16382241249084473,1136,,,,0.6310237,2.0242212,,23,2.978982,-0.0151678845,47104,43.562751054763794,47104,0.1740184,,31.94
,3.254191026960113e-08,0.020204287,0.16420898,,,65.0,136.32897836,3.8624602899999996,0.07487577199935913,0.0182456374168396,1126,,,,0.6155446,1.0033834,,24,2.9823604,-0.033261947,49152,45.380849838256836,49152,0.432328,,30.56
,4.9300994058445714e-08,0.010958542,0.119384766,,,65.0,154.05265797,2.06729861,0.05561643838882446,-0.022910594940185547,1134,,,,0.59543264,5.2497587,,25,2.9820042,-0.01961287,51200,47.18691301345825,51200,1.014402,,31.31
,7.469100599854526e-08,0.02020539,0.20546874,,,65.0,154.88894487,-0.9500143399999996,0.06740128993988037,0.015118956565856934,1123,,,,0.5805067,1.5189363,,26,2.9906178,-0.047617126,53248,49.01047706604004,53248,0.7022534,,31.37
,1.1315687408779607e-07,0.03589699,0.16889648,,,65.0,160.38854228,0.2445231300000003,0.07155334949493408,0.08774906396865845,1101,,,,0.55633163,2.7671704,,27,3.0085957,-0.052246064,55296,50.86960792541504,55296,1.1687505,,30.95
,1.1428844282867402e-07,0.021070875,0.14863281,,,65.0,146.54821887,3.1032594699999994,0.04928791522979736,0.07210636138916016,1126,,,,0.5271234,6.450653,,28,3.0309832,-0.07819408,57344,52.687824964523315,57344,0.3980812,,28.49
,1.1543132725696076e-07,0.0060194875,0.07558594,,,65.0,128.46951420999997,6.553185420000001,0.06325924396514893,0.04876244068145752,1114,,,,0.5044865,2.1632032,,29,3.0437436,-0.007287408,59392,54.52632808685303,59392,0.72041047,,25.87
,1.1658564052953038e-07,0.053783454,0.26542968,,,65.0,144.51856522999998,4.66525449,0.07183295488357544,-0.011225223541259766,1133,,,,0.49394384,2.9254365,,30,3.0511358,-0.10447067,61440,56.333847999572754,61440,1.6015444,,26.89
,1.1775149693482568e-07,0.01371122,0.17475586,,,65.0,122.60409288,5.0977270400000005,0.08341681957244873,-0.07077276706695557,1053,,,,0.47082767,0.43807667,,31,3.054429,-0.021122266,63488,58.27770709991455,63488,0.4389306,,26.72
,1.1892901190417394e-07,0.008674493,0.113134764,,,65.0,136.27359747999998,3.1028892900000007,0.07233911752700806,-0.02898848056793213,1113,,,,0.46465212,2.0786192,,32,3.033586,-0.028441,65536,60.11717104911804,65536,0.48222333,,28.47
,1.201183020232157e-07,0.0049156332,0.053222656,,,65.0,125.08783025000002,1.66370123,0.08434051275253296,0.03764808177947998,1125,,,,0.459421,0.67639166,,33,3.007626,-0.013223397,67584,61.93770384788513,67584,0.15597594,,28.35
,1.2131948504344786e-07,0.0073848777,0.100292966,,,65.0,110.27386046999999,3.1599988099999994,0.09905081987380981,0.023094654083251953,1128,,,,0.45418778,0.2855636,,34,3.0113227,-0.012571824,69632,63.752501010894775,69632,0.3388787,,26.74
,1.2253267989388234e-07,0.006394071,0.0737793,,,65.0,95.13129277,3.60871758,0.08232587575912476,0.023278415203094482,1132,,,,0.4494353,0.8146609,,35,3.012419,-0.022179948,71680,65.56135511398315,71680,0.21725988,,24.86
,1.2375800669282116e-07,0.00437173,0.047558594,,,65.0,92.63752775000003,4.39827573,0.08757281303405762,0.07517147064208984,1120,,,,0.44566283,0.61046827,,36,3.0106454,-0.001494238,73728,67.39009690284729,73728,0.15504442,,25.46
,1.2499558675974938e-07,0.0101304725,0.124414064,,,65.0,92.11687343000001,5.62922923,0.07851976156234741,0.08806580305099487,1120,,,,0.44270715,0.5379306,,37,3.0152066,-0.01151913,75776,69.21815395355225,75776,0.44425946,,25.47
,1.2624554262734686e-07,0.0099516455,0.13203125,,,65.0,119.28932745999997,8.53297821,0.05735403299331665,-0.04098391532897949,1132,,,,0.43404484,3.9087822,,38,3.0074248,-0.026821494,77824,71.02694606781006,77824,0.8162978,,27.14
,1.2750799805362033e-07,0.006193044,0.07426758,,,65.0,108.69789321999998,11.07118835,0.05582618713378906,0.11941474676132202,1107,,,,0.4268519,1.6438787,,39,2.9798598,-0.014022971,79872,72.87740993499756,79872,0.27606744,,25.02
,1.2878307803415654e-07,0.008022951,0.10043945,,,65.0,111.34304988999999,13.96736537,0.08291411399841309,0.07990652322769165,1119,,,,0.4201722,0.509248,,40,2.969045,-0.03549496,81920,74.7074408531189,81920,0.5488847,,25.93
,1.300709088144981e-07,0.0035317647,0.033251952,,,65.0,113.84744307,14.015469260000001,0.07062435150146484,0.1119113564491272,1119,,,,0.41185242,1.6324501,,41,2.977775,-0.011617785,83968,76.53712487220764,83968,0.64218163,,26.42
,1.3137161790264308e-07,0.009406336,0.11005859,,,65.0,115.56283117999999,20.20733225,0.0781170129776001,0.1431146264076233,1117,,,,0.40509614,1.2384536,,42,2.9886782,-0.03948674,86016,78.37011575698853,86016,1.1058555,,25.76
,1.326853340816695e-07,0.0046312595,0.04423828,,,65.0,113.13109389000003,20.727594279999998,0.05784672498703003,0.2748287320137024,1126,,,,0.3968647,2.6244798,,43,2.9968336,-0.00918193,88064,80.18903183937073,88064,0.20080888,,25.01
,1.340121874224862e-07,0.0067478367,0.07929687,,,65.0,113.18791982,19.399622490000002,0.06293362379074097,0.2765809893608093,1125,,,,0.3931548,3.9771247,,44,2.9975863,-0.0116256215,90112,82.00975394248962,90112,0.44089237,,23.04
,1.3535230929671108e-07,0.006024037,0.06899414,,,65.0,108.84990760000002,15.18555794,0.07976633310317993,0.13234448432922363,1119,,,,0.38874656,0.6256567,,45,2.9752557,-0.01991016,92160,83.83890986442566,92160,0.4140339,,22.59
,1.367058323896782e-07,0.0035062688,0.031835936,,,65.0,104.18890671,13.89164465,0.08504748344421387,0.22695600986480713,1095,,,,0.38645315,1.6009758,,46,2.974419,-0.0013699464,94208,85.70865678787231,94208,0.5908785,,22.08
,1.3807289071357498e-07,0.0062300493,0.0725586,,,65.0,88.56465498,20.589423280000002,0.06976503133773804,0.2041880488395691,1106,,,,0.38565165,1.2192333,,47,2.983384,-0.009062675,96256,87.5603199005127,96256,0.7910572,,21.52
,1.3945361962071074e-07,0.004438369,0.037988283,,,65.0,82.83960678,25.018152930000007,0.0878371000289917,0.2597643733024597,1100,,,,0.38403067,0.48987228,,48,2.9560275,-0.0073351064,98304,89.43157601356506,98304,0.6368522,,20.47
,1.4084815581691785e-07,0.005946529,0.055419922,,,65.0,87.46602051000002,24.937784980000007,0.0555340051651001,0.25134050846099854,1120,,,,0.380345,3.4077785,,49,2.9429493,-0.030958226,100352,91.25966787338257,100352,0.3292752,,20.62
,1.4225663737508703e-07,0.0064206505,0.0703125,,,65.0,87.45434394999998,19.0857274,0.07064563035964966,0.057299911975860596,1125,,,,0.37507024,2.294854,,50,2.9361036,-0.013454126,102400,93.0794849395752,102400,0.41923246,,18.24
,1.436792037488379e-07,0.005006236,0.053515624,,,65.0,108.12520875000001,17.72503855,0.0729970932006836,0.2150304913520813,1128,,,,0.37165764,2.7715802,,51,2.9218793,-0.02180073,104448,94.89451384544373,104448,0.3841161,,19.34
,1.4511599578632628e-07,0.006020159,0.06411133,,,65.0,99.56397399,21.4761443,0.07874906063079834,0.26555854082107544,1135,,,,0.36804134,0.6814723,,52,2.8960643,-0.02004536,106496,96.6986517906189,106496,0.61012053,,19.8
,1.4656715574418954e-07,0.00923586,0.09663086,,,65.0,98.95406699000002,23.98472247,0.042495787143707275,0.13132238388061523,1129,,,,0.36166805,5.0878663,,53,2.8829546,-0.05706956,108544,98.51255989074707,108544,0.50461805,,20.09
,1.4803282730163144e-07,0.0057351114,0.06538086,,,65.0,89.18956474999999,23.90329063,0.07647031545639038,0.3201146125793457,1124,,,,0.3536194,0.6556342,,54,2.8710592,-0.01559682,110592,100.33458304405212,110592,0.26307943,,20.15
,1.4951315557464775e-07,0.0053971536,0.058642577,,,65.0,97.10974312,21.385166390000006,0.06453883647918701,0.2684186100959778,1125,,,,0.35054067,2.7178261,,55,2.8409166,-0.031337637,112640,102.15539312362671,112640,0.43033117,,19.22
,1.5100828713039422e-07,0.0067498893,0.08105469,,,65.0,80.10490056,19.153790819999998,0.08213287591934204,0.23974359035491943,1128,,,,0.34624052,0.5770099,,56,2.821012,-0.015434548,114688,103.97142195701599,114688,0.29366317,,18.71
,1.5251837000169815e-07,0.020790938,0.08710937,,,65.0,97.45179759999999,23.06324431,0.06222259998321533,0.21498125791549683,1127,,,,0.33738708,2.8290753,,57,2.8222294,-0.10545313,116736,105.78827285766602,116736,0.54728806,,18.9
,1.5404355370171512e-07,0.0059744027,0.06347656,,,65.0,85.07262655000001,23.54993967,0.0539892315864563,0.3188883066177368,1124,,,,0.32168585,2.9622025,,58,2.8117085,-0.02411774,118784,107.61062097549438,118784,0.37430212,,17.69
,1.5558398923873228e-07,0.0069368393,0.09033203,,,65.0,102.60985754,30.560917860000004,0.06355667114257812,0.20157581567764282,1117,,,,0.31884092,2.4821236,,59,2.7862403,-0.017347453,120832,109.44347500801086,120832,0.94122714,,18.59
,1.571398291311196e-07,0.0063388287,0.07631836,,,65.0,101.33947752000002,30.16105014,0.07907819747924805,0.169411301612854,1127,,,,0.3174401,1.2000096,,60,2.7743976,-0.0050741737,122880,111.26022291183472,122880,0.53104436,,17.41
,1.587112274224308e-07,0.005608267,0.05644531,,,65.0,88.59925385999999,31.954193219999997,0.07013958692550659,0.23205357789993286,1127,,,,0.31593144,1.4699292,,61,2.7718127,-0.022929244,124928,113.07703304290771,124928,0.649387,,16.99
,1.602983396966551e-07,0.014438732,0.10571289,,,65.0,119.95090262,35.24858577,0.06094604730606079,0.20682066679000854,1129,,,,0.31034738,6.098286,,62,2.7707431,-0.094485976,126976,114.88993000984192,126976,1.088669,,18.79
,1.6190132309362165e-07,0.008518962,0.097509764,,,65.0,112.05374537,38.87711238,0.08637237548828125,0.29951345920562744,1129,,,,0.30178314,0.80179185,,63,2.7641523,-0.027099486,129024,116.70408797264099,129024,0.53199655,,18.18
,1.6352033632455788e-07,0.005601158,0.06293945,,,65.0,113.95588598999998,38.29225109,0.0593375563621521,0.29004448652267456,1106,,,,0.29863486,2.807378,,64,2.7482543,-0.030711016,131072,118.5551187992096,131072,0.4886183,,18.23
,1.6515553968780345e-07,0.019075314,0.099853516,,,65.0,91.51325485000001,38.84492152,0.06139427423477173,0.18054330348968506,1130,,,,0.29184556,3.2977874,,65,2.751951,-0.09622642,133120,120.3674807548523,133120,0.53502387,,16.12
,1.6680709508468148e-07,0.0047919364,0.052441407,,,65.0,93.89258414000001,37.92295163,0.0917428731918335,0.267181932926178,1121,,,,0.28274733,0.70062715,,66,2.766331,-0.008801998,135168,122.19327092170715,135168,0.54624736,,16.14
,1.684751660355283e-07,0.00786365,0.067675784,,,65.0,122.60687651999999,37.53820195,0.06726235151290894,0.07043236494064331,1128,,,,0.2807434,5.02728,,67,2.7687697,-0.02669152,137216,124.00774097442627,137216,0.5574063,,17.63
,1.7015991769588357e-07,0.009196179,0.09047852,,,65.0,127.10789219999998,36.915703210000004,0.07952862977981567,0.23903816938400269,1131,,,,0.27603656,1.9380862,,68,2.7620943,-0.06723004,139264,125.81864500045776,139264,0.54527116,,18.2
,1.718615168728424e-07,0.008716799,0.10063477,,,65.0,135.40647187000002,36.3024545,0.09050238132476807,0.17703694105148315,1121,,,,0.27001804,0.84957093,,69,2.7590835,-0.0489223,141312,127.64534091949463,141312,0.6553306,,19.27
,1.7358013204157084e-07,0.0057598725,0.057275392,,,65.0,111.54273592999999,30.587230759999994,0.06798464059829712,0.15636223554611206,1132,,,,0.26491076,1.932649,,70,2.7626252,-0.044838198,143360,129.4547939300537,143360,0.51613754,,18.47
,1.7531593336198655e-07,0.0070269527,0.080029294,,,65.0,102.95618582999998,33.57691267,0.08424025774002075,0.3645329475402832,1129,,,,0.2613755,1.0677693,,71,2.7610793,-0.023531757,145408,131.2684109210968,145408,0.5830521,,18.16
